paper_id,publication_year,study_design,sport_discipline,athlete_level,n_total,age_mean,age_sd,sex_ratio_male_pct,bt_classification,dose_frequency,dose_duration_days,comparator_type,outcome_metric,ig_n,ig_mean,ig_dispersion,cg_n,cg_mean,cg_dispersion,effect_estimate,adverse_events,adherence_rate_pct,dropout_rate_pct,feasibility_score,source_row,source_row_text,paper_id_original,paper_id_repaired,publication_year_num,n_total_num,age_mean_num,age_sd_num,sex_ratio_prop,dose_frequency_week,dose_duration_days_num,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,adherence_prop,dropout_prop,bt_category,design_group,outcome_index
Durand2004,2004,Observational - Cross-sectional,Endurance,Competitive,22,23.85,1.15,,Other,,,Active control,FEV1,11,4.7,0.2,11,4.8,0.1,,,,,,1,Durand2004 2004 Observational - Cross-sectional Endurance Competitive 22 23.85 1.15 NA Other NA NA Active control FEV1 11 4.7 0.2 11 4.8 0.1 NA NA NA NA NA  1,Durand2004,FALSE,2004,22,23.85,1.1500000000000001,,,,11,4.7,0.2,11,4.8,0.1,,,other_unclear,single_group_or_observational,1
Spiering2004,2004,Experimental - Other,Various,Competitive,,,,,,Hyperventilation,,,Active control,,,,,,,,,,,,2,Spiering2004 2004 Experimental - Other Various Competitive NA NA NA NA NA Hyperventilation NA NA Active control NA NA NA NA NA NA NA NA NA NA NA  2,Spiering2004,FALSE,2004,,,,,,,,,,,,,,,other_unclear,other_or_unclear,2
Lindholm2005,2005,Experimental - Other,Freediving,Elite,,,,,,Other,,,Active control,,,,,,,,,,,,3,Lindholm2005 2005 Experimental - Other Freediving Elite NA NA NA NA NA Other NA NA Active control NA NA NA NA NA NA NA NA NA NA NA  3,Lindholm2005,FALSE,2005,,,,,,,,,,,,,,,other_unclear,other_or_unclear,3
Malakhov2014,2014,Experimental - Other,Various,Competitive,66,21.1,2.8,43.93,Hyperventilation,1,1,Crossover baseline,V mm s-1,38,37.76,29.0,38,7.06,1.68,,,,,,4,Malakhov2014 2014 Experimental - Other Various Competitive 66 21.1 2.8 43.93 Hyperventilation 1 1 Crossover baseline V mm s-1 38 37.76 29.0 38 7.06 1.68 NA NA NA NA NA  4,Malakhov2014,FALSE,2014,66,21.1,2.8,0.4393,1,1,38,37.760000000000005,29,38,7.06,1.6800000000000002,,,hyperventilation,other_or_unclear,4
Sakamoto2014,2014,Experimental - Other,Various,Competitive,13,21.2,1.9,100.0,Hyperventilation,1,1,Crossover baseline,Resting Blood pH,13,7.366,0.021,13,7.367,0.027,,,,,,5,Sakamoto2014 2014 Experimental - Other Various Competitive 13 21.2 1.9 100.0 Hyperventilation 1 1 Crossover baseline Resting Blood pH 13 7.366 0.021 13 7.367 0.027 NA NA NA NA NA  5,Sakamoto2014,FALSE,2014,13,21.2,1.9,1,1,1,13,7.366,0.021,13,7.366999999999999,0.027,,,hyperventilation,other_or_unclear,5
Sakamoto2015,2015,Experimental - Other,Various,Competitive,15,21.2,3.7,66.67,Hyperventilation,1,1,Crossover baseline,Peak Torque 60/s,15,237.1,56.8,15,234.0,58.4,,,,,,6,Sakamoto2015 2015 Experimental - Other Various Competitive 15 21.2 3.7 66.67 Hyperventilation 1 1 Crossover baseline Peak Torque 60/s 15 237.1 56.8 15 234.0 58.4 NA NA NA NA NA  6,Sakamoto2015,FALSE,2015,15,21.2,3.7,0.6666999999999998,1,1,15,237.1,56.8,15,234,58.4,,,hyperventilation,other_or_unclear,6
Stavrou2015,2015,Experimental - RCT,Swimming,Competitive,28,15.8,1.0,50.0,Hypoventilation,,112,Active control,HR After 50m,14,176.0,10.0,14,170.0,13.0,,,,,,7,Stavrou2015 2015 Experimental - RCT Swimming Competitive 28 15.8 1.0 50.0 Hypoventilation NA 112 Active control HR After 50m 14 176.0 10.0 14 170.0 13.0 NA NA NA NA NA  7,Stavrou2015,FALSE,2015,28,15.8,1,0.5,,112,14,176,10,14,170,13,,,hypoventilation,parallel_or_controlled_trial,7
Hakked2017,2017,Experimental - RCT,Swimming,Competitive,27,15.15,1.42,48.15,Yoga/Pranayama,5,30,Passive control,MVV,14,115.45,31.44,13,97.65,20.37,,,,,,8,Hakked2017 2017 Experimental - RCT Swimming Competitive 27 15.15 1.42 48.15 Yoga/Pranayama 5 30 Passive control MVV 14 115.45 31.44 13 97.65 20.37 NA NA NA NA NA  8,Hakked2017,FALSE,2017,27,15.15,1.42,0.4815,5,30,14,115.45,31.439999999999998,13,97.64999999999999,20.37,,,pranayama_yogic,parallel_or_controlled_trial,8
Hakked2017,2017,Experimental - RCT,Swimming,Competitive,27,15.15,1.42,48.15,Yoga/Pranayama,5,30,Passive control,FVC,14,3.14,1.03,13,2.39,0.75,,,,,,9,Hakked2017 2017 Experimental - RCT Swimming Competitive 27 15.15 1.42 48.15 Yoga/Pranayama 5 30 Passive control FVC 14 3.14 1.03 13 2.39 0.75 NA NA NA NA NA  9,Hakked2017,FALSE,2017,27,15.15,1.42,0.4815,5,30,14,3.14,1.03,13,2.3899999999999997,0.75,,,pranayama_yogic,parallel_or_controlled_trial,9
Hakked2017,2017,Experimental - RCT,Swimming,Competitive,27,15.15,1.42,48.15,Yoga/Pranayama,5,30,Passive control,Total Strokes per Breath,14,3.54,0.88,13,3.08,0.86,,,,,,10,Hakked2017 2017 Experimental - RCT Swimming Competitive 27 15.15 1.42 48.15 Yoga/Pranayama 5 30 Passive control Total Strokes per Breath 14 3.54 0.88 13 3.08 0.86 NA NA NA NA NA 10,Hakked2017,FALSE,2017,27,15.15,1.42,0.4815,5,30,14,3.54,0.88,13,3.08,0.8600000000000001,,,pranayama_yogic,parallel_or_controlled_trial,10
Sakamoto2018,2018,Experimental - Other,Various,Competitive,17,20.36,0.9,82.35,Hyperventilation,1,1,Crossover baseline,Resting Blood pH,17,7.471,0.037,17,7.403,0.014,,,,,,11,Sakamoto2018 2018 Experimental - Other Various Competitive 17 20.36 0.9 82.35 Hyperventilation 1 1 Crossover baseline Resting Blood pH 17 7.471 0.037 17 7.403 0.014 NA NA NA NA NA 11,Sakamoto2018,FALSE,2018,17,20.36,0.9,0.8234999999999999,1,1,17,7.471000000000001,0.037,17,7.4030000000000005,0.014,,,hyperventilation,other_or_unclear,11
Sakamoto2018,2018,Experimental - Other,Various,Competitive,17,20.36,0.9,82.35,Hyperventilation,1,1,Crossover baseline,PCO2,17,31.1,3.6,17,38.3,2.6,,,,,,12,Sakamoto2018 2018 Experimental - Other Various Competitive 17 20.36 0.9 82.35 Hyperventilation 1 1 Crossover baseline PCO2 17 31.1 3.6 17 38.3 2.6 NA NA NA NA NA 12,Sakamoto2018,FALSE,2018,17,20.36,0.9,0.8234999999999999,1,1,17,31.1,3.6,17,38.3,2.6,,,hyperventilation,other_or_unclear,12
Fernandez2019,2019,Experimental - Other,Freediving,Elite,,,,100.0,Other,1,1,Crossover baseline,,,,,,,,,,,,,13,Fernandez2019 2019 Experimental - Other Freediving Elite NA NA NA 100.0 Other 1 1 Crossover baseline NA NA NA NA NA NA NA NA NA NA NA NA 13,Fernandez2019,FALSE,2019,,,,1,1,1,,,,,,,,,other_unclear,other_or_unclear,13
Citherlet2021,2021,Experimental - Other,Running,Recreational,15,24.5,2.3,100.0,Wim Hof,1,1,Crossover baseline,Peak Power,15,501.3,115.6,15,501.9,104.5,,tingling numbness dizziness heaviness,,,,14,Citherlet2021 2021 Experimental - Other Running Recreational 15 24.5 2.3 100.0 Wim Hof 1 1 Crossover baseline Peak Power 15 501.3 115.6 15 501.9 104.5 NA tingling numbness dizziness heaviness NA NA NA 14,Citherlet2021,FALSE,2021,15,24.5,2.3,1,1,1,15,501.3,115.6,15,501.9,104.5,,,hyperventilation,other_or_unclear,14
Citherlet2021,2021,Experimental - Other,Running,Recreational,15,24.5,2.3,100.0,Wim Hof,1,1,Crossover baseline,Average Power,15,413.6,86.7,15,418.2,84.3,,tingling numbness dizziness heaviness,,,,15,Citherlet2021 2021 Experimental - Other Running Recreational 15 24.5 2.3 100.0 Wim Hof 1 1 Crossover baseline Average Power 15 413.6 86.7 15 418.2 84.3 NA tingling numbness dizziness heaviness NA NA NA 15,Citherlet2021,FALSE,2021,15,24.5,2.3,1,1,1,15,413.6,86.7,15,418.2,84.3,,,hyperventilation,other_or_unclear,15
Citherlet2021,2021,Experimental - Other,Running,Recreational,15,24.5,2.3,100.0,Wim Hof,1,1,Crossover baseline,Fatigue Index,15,4.9,1.7,15,4.6,2.2,,tingling numbness dizziness heaviness,,,,16,Citherlet2021 2021 Experimental - Other Running Recreational 15 24.5 2.3 100.0 Wim Hof 1 1 Crossover baseline Fatigue Index 15 4.9 1.7 15 4.6 2.2 NA tingling numbness dizziness heaviness NA NA NA 16,Citherlet2021,FALSE,2021,15,24.5,2.3,1,1,1,15,4.9,1.7,15,4.6,2.2,,,hyperventilation,other_or_unclear,16
Citherlet2021,2021,Experimental - Other,Running,Recreational,15,24.5,2.3,100.0,Wim Hof,1,1,Crossover baseline,RPE Borg CR10,15,6.9,1.4,15,7.5,1.2,,tingling numbness dizziness heaviness,,,,17,Citherlet2021 2021 Experimental - Other Running Recreational 15 24.5 2.3 100.0 Wim Hof 1 1 Crossover baseline RPE Borg CR10 15 6.9 1.4 15 7.5 1.2 NA tingling numbness dizziness heaviness NA NA NA 17,Citherlet2021,FALSE,2021,15,24.5,2.3,1,1,1,15,6.9,1.4,15,7.5,1.2,,,hyperventilation,other_or_unclear,17
Taylor2021,2021,Experimental - Other,None,Recreational,47,,,36.17,Paced Breathing,1,1,Crossover baseline,Reaction Time,47,694.1,266.68,47,729.11,268.46,,,,,,18,Taylor2021 2021 Experimental - Other None Recreational 47 NA NA 36.17 Paced Breathing 1 1 Crossover baseline Reaction Time 47 694.1 266.68 47 729.11 268.46 NA NA NA NA NA 18,Taylor2021,FALSE,2021,47,,,0.3617,1,1,47,694.1,266.68,47,729.11,268.46,,,paced_breathing,other_or_unclear,18
Taylor2021,2021,Experimental - Other,None,Recreational,47,,,36.17,Paced Breathing,1,1,Crossover baseline,Normalized Movement Time,47,281.83,226.5,47,303.28,225.36,,,,,,19,Taylor2021 2021 Experimental - Other None Recreational 47 NA NA 36.17 Paced Breathing 1 1 Crossover baseline Normalized Movement Time 47 281.83 226.5 47 303.28 225.36 NA NA NA NA NA 19,Taylor2021,FALSE,2021,47,,,0.3617,1,1,47,281.83,226.5,47,303.28,225.36,,,paced_breathing,other_or_unclear,19
Vaidya2021,2021,Experimental - Other,Cricket,Competitive,,,,,,Yoga/Pranayama,,,Active control,,,,,,,,,,,bahensky2021,20,Vaidya2021 2021 Experimental - Other Cricket Competitive NA NA NA NA NA Yoga/Pranayama NA NA Active control NA NA NA NA NA NA NA NA NA NA bahensky2021 20,Vaidya2021,FALSE,2021,,,,,,,,,,,,,,,other_unclear,other_or_unclear,20
,Experimental - RCT,Running,Competitive,46,,,,Yoga/Pranayama,7,56,Passive control,Subclavian Sector Engagement,23,0.83,0.42,23,0.63,0.42,,,,,,,21,2021 Experimental - RCT Running Competitive 46 NA NA NA Yoga/Pranayama 7 56 Passive control Subclavian Sector Engagement 23 0.83 0.42 23 0.63 0.42 NA NA NA NA NA NA 21,2021,FALSE,,,,,,56,,0.8300000000000001,0.42000000000000004,23,0.63,0.42000000000000004,,,,other_unclear,other_or_unclear,21
Marko2022,2022,Experimental - RCT,Running,Elite,19,16.6,1.53,57.89,Wim Hof,7,28,Passive control,Minute Ventilation,11,101.93,14.74,8,96.36,11.13,,,,,,22,Marko2022 2022 Experimental - RCT Running Elite 19 16.6 1.53 57.89 Wim Hof 7 28 Passive control Minute Ventilation 11 101.93 14.74 8 96.36 11.13 NA NA NA NA NA 22,Marko2022,FALSE,2022,19,16.6,1.53,0.5789,7,28,11,101.93,14.739999999999998,8,96.36,11.129999999999999,,,hyperventilation,parallel_or_controlled_trial,22
Marko2022,2022,Experimental - RCT,Running,Elite,19,16.6,1.53,57.89,Wim Hof,7,28,Passive control,Tidal Volume,11,2.32,0.63,8,1.92,0.23,,,,,,23,Marko2022 2022 Experimental - RCT Running Elite 19 16.6 1.53 57.89 Wim Hof 7 28 Passive control Tidal Volume 11 2.32 0.63 8 1.92 0.23 NA NA NA NA NA 23,Marko2022,FALSE,2022,19,16.6,1.53,0.5789,7,28,11,2.32,0.63,8,1.92,0.23,,,hyperventilation,parallel_or_controlled_trial,23
You2023,2023,Experimental - Other,None,Recreational,75,22.32,2.11,29.33,Paced Breathing,1,1,Crossover baseline,RMSSD,75,97.62,43.81,75,62.84,35.96,,,,,,24,You2023 2023 Experimental - Other None Recreational 75 22.32 2.11 29.33 Paced Breathing 1 1 Crossover baseline RMSSD 75 97.62 43.81 75 62.84 35.96 NA NA NA NA NA 24,You2023,FALSE,2023,75,22.32,2.11,0.2933,1,1,75,97.61999999999999,43.809999999999995,75,62.839999999999996,35.96,,,paced_breathing,other_or_unclear,24
You2023,2023,Experimental - Other,None,Recreational,75,22.32,2.11,29.33,Paced Breathing,1,1,Crossover baseline,Heart Rate,75,68.46,10.45,75,65.62,10.45,,,,,,25,You2023 2023 Experimental - Other None Recreational 75 22.32 2.11 29.33 Paced Breathing 1 1 Crossover baseline Heart Rate 75 68.46 10.45 75 65.62 10.45 NA NA NA NA NA 25,You2023,FALSE,2023,75,22.32,2.11,0.2933,1,1,75,68.46000000000001,10.450000000000001,75,65.61999999999999,10.450000000000001,,,paced_breathing,other_or_unclear,25
Braham2024,2024,Experimental - RCT,Soccer,Competitive,24,,,0.0,Hypoventilation,2,42,Active control,Sprints Completed,8,22.6,0.9,8,19.5,1.7,,,,,,26,Braham2024 2024 Experimental - RCT Soccer Competitive 24 NA NA 0.0 Hypoventilation 2 42 Active control Sprints Completed 8 22.6 0.9 8 19.5 1.7 NA NA NA NA NA 26,Braham2024,FALSE,2024,24,,,0,2,42,8,22.6,0.9,8,19.5,1.7,,,hypoventilation,parallel_or_controlled_trial,26
Li2024,2024,Experimental - Other,None,Recreational,22,19.6,1.2,81.81,Paced Breathing,1,1,Crossover baseline,Overall Repetitions,22,76.4,2.11,22,56.9,1.42,,,,,,27,Li2024 2024 Experimental - Other None Recreational 22 19.6 1.2 81.81 Paced Breathing 1 1 Crossover baseline Overall Repetitions 22 76.4 2.11 22 56.9 1.42 NA NA NA NA NA 27,Li2024,FALSE,2024,22,19.6,1.2,0.8181,1,1,22,76.4,2.11,22,56.9,1.42,,,paced_breathing,other_or_unclear,27
Li2024,2024,Experimental - Other,None,Recreational,22,19.6,1.2,81.81,Paced Breathing,1,1,Crossover baseline,Maximum PHR,22,157.0,3.41,22,157.0,5.78,,,,,,28,Li2024 2024 Experimental - Other None Recreational 22 19.6 1.2 81.81 Paced Breathing 1 1 Crossover baseline Maximum PHR 22 157.0 3.41 22 157.0 5.78 NA NA NA NA NA 28,Li2024,FALSE,2024,22,19.6,1.2,0.8181,1,1,22,157,3.4099999999999997,22,157,5.78,,,paced_breathing,other_or_unclear,28
Merlin2024,2024,Experimental - RCT,Swimming,Elite,13,13.9,0.38,42.85,Paced Breathing,,42,Passive control,General Recovery,7,5.17,1.01,6,4.78,1.54,,,,,,29,Merlin2024 2024 Experimental - RCT Swimming Elite 13 13.9 0.38 42.85 Paced Breathing NA 42 Passive control General Recovery 7 5.17 1.01 6 4.78 1.54 NA NA NA NA NA 29,Merlin2024,FALSE,2024,13,13.9,0.38,0.42849999999999994,,42,7,5.17,1.01,6,4.78,1.54,,,paced_breathing,parallel_or_controlled_trial,29
