Paper_ID,Present_Once,Line_Order_Correct,Has_Outcome,Has_Sample_Size,Has_Safety_Check,Issue_Note
Durand2000.pdf,yes,yes,yes,yes,yes,
Spiering2004.pdf,yes,yes,yes,yes,yes,
Lindholm2005.pdf,yes,yes,yes,yes,yes,
Woorons2008.pdf,yes,yes,yes,yes,yes,
Sakamoto2014.pdf,yes,yes,yes,yes,yes,
Guimard2014.pdf,yes,yes,yes,yes,yes,
Malakhov2014.pdf,yes,yes,yes,yes,yes,
Jacob2015.pdf,yes,yes,yes,yes,yes,
Sakamoto2015.pdf,yes,yes,yes,yes,yes,
Stavrou2015.pdf,yes,yes,yes,yes,yes,
Fujii2015.pdf,yes,yes,yes,yes,yes,
Woorons2016.pdf,yes,yes,yes,yes,yes,
Hakked2017.pdf,yes,yes,yes,yes,yes,
Kacoglu2017.pdf,yes,yes,yes,yes,yes,
Pelka2017.pdf,yes,yes,yes,yes,yes,
Trincat2017.pdf,yes,yes,yes,yes,yes,
Burtch2017.pdf,yes,yes,yes,yes,yes,
Woorons2017.pdf,yes,yes,yes,yes,yes,
FornasierSantos2018.pdf,yes,yes,yes,yes,yes,
Gray2018.pdf,yes,yes,yes,yes,yes,
Lim2018.pdf,yes,yes,yes,yes,yes,
Sakamoto2018.pdf,yes,yes,yes,yes,yes,
Fernandez2019.pdf,yes,yes,yes,yes,yes,
Laborde2019.pdf,yes,yes,yes,yes,yes,
Woorons2019.pdf,yes,yes,yes,yes,yes,
Woorons2019b.pdf,yes,yes,yes,yes,yes,
Bouten2020.pdf,yes,yes,yes,yes,yes,
Lapointe2020.pdf,yes,yes,yes,yes,yes,
Robertson2020.pdf,yes,yes,yes,yes,yes,
Sakamoto2020.pdf,yes,yes,yes,yes,yes,
Woorons2020.pdf,yes,yes,yes,yes,yes,
Bahensky2021.pdf,yes,yes,yes,yes,yes,
Citherlet2021.pdf,yes,yes,yes,yes,yes,
Dobashi2021.pdf,yes,yes,yes,yes,yes,
Grossman2021.pdf,yes,yes,yes,yes,yes,
Taylor2021.pdf,yes,yes,yes,yes,yes,
Vaidya2021.pdf,yes,yes,yes,yes,yes,
Brocherie2022.pdf,yes,yes,yes,yes,yes,
Conlon2022.pdf,yes,yes,yes,yes,yes,
Marko2022.pdf,yes,yes,yes,yes,yes,
You2023.pdf,yes,yes,yes,yes,yes,
Braham2024.pdf,yes,yes,yes,yes,yes,
Buxton2024.pdf,yes,yes,yes,yes,yes,
Li2024.pdf,yes,yes,yes,yes,yes,
Merlin2024.pdf,yes,yes,yes,yes,yes,
Rosa2024.pdf,yes,yes,yes,yes,yes,
Sikora2024.pdf,yes,yes,yes,yes,yes,
Woorons2024.pdf,yes,yes,yes,yes,yes,
Deniz2025.pdf,yes,yes,yes,yes,yes,
Fernandez2025.pdf,yes,yes,yes,yes,yes,
Fesseler2025.pdf,yes,yes,yes,yes,yes,
Fox2025.pdf,yes,yes,yes,yes,yes,
Kasap2025.pdf,yes,yes,yes,yes,yes,
Liapaki2025.pdf,yes,yes,yes,yes,yes,
Lorinczi2025.pdf,yes,yes,yes,yes,yes,
Yilmaz2025.pdf,yes,yes,yes,yes,yes,
Chiron2026.pdf,yes,yes,yes,yes,yes,
Devipriya2026.pdf,yes,yes,yes,yes,yes,
FernandezBarradas2026.pdf,yes,yes,yes,yes,yes,
Iskra2026.pdf,yes,yes,yes,yes,yes,
Jing2026.pdf,yes,yes,yes,yes,yes,
Jones2026.pdf,yes,yes,yes,yes,yes,
Katz2026.pdf,yes,yes,yes,yes,yes,
Raidl2026.pdf,yes,yes,yes,yes,yes,
Tomita2026.pdf,yes,yes,yes,yes,yes,