paper_id,row_type,efficacy_source,year,first_author,design,country,journal,title_short,sport,sport_category,athlete_level,n_total,age_mean,age_sd,sex_male_pct,bt_classification,comparator,arm_structure,outcome_domain,outcome_metric,timepoint,lower_is_better,ig_n,ig_mean,ig_sd,cg_n,cg_mean,cg_sd,dispersion_note,complete_for_smd,n_allocated_ig,n_allocated_cg,dropout_n_ig,dropout_n_cg,adherence_rate_ig,adherence_rate_cg,completion_note,feasibility_source_quote,any_ae_reported,overall_ae_n,overall_ae_total,serious_ae_n,ae_description,safety_source_quote,any_ae_n_ig,any_ae_total_ig,any_ae_n_cg,any_ae_total_cg,ae_type,ae_n_ig,ae_n_cg,arm_safety_source_quote,source_row,intervention_bt_classification,intervention_breathing_category,intervention_comparator,intervention_arm_structure,intervention_timing,intervention_total_duration,publication_year_num,n_total_num,age_mean_num,age_sd_num,sex_ratio_prop,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,n_allocated_ig_num,n_allocated_cg_num,dropout_n_ig_num,dropout_n_cg_num,adherence_ig_prop,adherence_cg_prop,bt_category,design_group,dose_duration_days_num,male_n,female_n,outcome_index
Citherlet2021,efficacy_outcome,additional,2021,Citherlet,Crossover,Switzerland,Frontiers in Sports and Active Living,Wim Hof breathing method,Repeated sprinting,running,competitive,16,,,,Wim Hof breathing method,spontaneous breathing,crossover,physiological,SpO2,acute pre-exercise,FALSE,15,99,0,15,97,1,,False,16,16,,,,,1 dropout due to injury.,1 participant was excluded because of a muscular injury,yes,1,16,,muscular injury,1 participant was excluded because of a muscular injury (in the lower limb during the first sprint),,,,,,,,,46,Wim Hof Method,mixed protocol,spontaneous breathing,crossover,acute pre-exercise,12 min,2021,16,,,,15,99,0,15,97,1,16,16,,,,,other_unclear,crossover,0.008333333333333333,,,46
Dobashi2021,metadata_only,none,2021,Dobashi,Crossover,Japan,Eur J Sport Sci,Voluntary hypocapnic hyperventilation lasting 5 min and 20 min similarly reduce aerobic metabolism,Cycling,cycling,mixed,11,24,2,91,voluntary hyperventilation,control,crossover,,,,,,,,,,,,False,11,11,,,,,,,unclear,,,,,,,,,,,,,,47,voluntary hyperventilation,hyperventilation,control,crossover,acute pre-exercise,"5 min, 20 min",2021,11,24,2,0.91,,,,,,,11,11,,,,,hyperventilation,crossover,0.003472222222222222,10.01,0.9899999999999997,47
Grossman2021,efficacy_outcome,additional,2021,Grossman,Crossover,Canada,Front Physiol,Breath holding during heavy-intensity Fartlek exercise,Cycling,cycling,healthy active,10,23.7,2.5,100,breath holding (CONLD-BH),free-breathing (CONLD),crossover,physiological,VCO2,post-exercise,FALSE,10,2.43,0.70,10,2.55,0.65,,True,10,10,,,,,,,unclear,,,,,,,,,,,,,,48,breath holding,breath holding/apnea,free-breathing,crossover,during exercise,,2021,10,23.7,2.5,1,10,2.43,0.7,10,2.55,0.65,10,10,,,,,breath_holding,crossover,,10,0,48
Taylor2021,efficacy_outcome,additional,2021,Buchanan,Crossover,USA,Human Movement Science,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Memory-guided force pulse,non-sport exercise/performance,healthy active,47,21.3,2.8,36,fast-paced breathing,slow-paced breathing,crossover,performance,NMT,during task,TRUE,47,281.83,226.50,47,303.28,225.36,,True,47,47,,,,,,,unclear,,,,,,,,,,,,,,50,fast-paced breathing,paced breathing,slow-paced breathing,crossover,during exercise,,2021,47,21.3,2.8,0.36,47,281.83,226.5,47,303.28,225.36,47,47,,,,,paced_breathing,crossover,,16.919999999999998,30.080000000000002,50
Vaidya2021,metadata_only,none,2021,Vaidya,RCT,India,Int J Yoga Therapy,Effect of Yoga on Performance and Physical Fitness in Cricket Bowlers,Cricket,team sports,competitive,30,,,,yoga-based breathing,control,parallel,,,,,,,,,,,,False,,,,,,,,,unclear,,,,,,,,,,,,,,52,yoga-based breathing,yoga/pranayama,control,parallel,training intervention,,2021,30,,,,,,,,,,,,,,,,pranayama_yogic,parallel_or_controlled_trial,,,,52
Brocherie2022,metadata_only,none,2022,Brocherie,RCT,France,Int J Sports Sci Coach,Effects of a 5-week off-ice repeated-sprint training with voluntary hypoventilation,Ice hockey,team sports,elite,43,16.7,1.5,100,hypoventilation (VHL),normal breathing (RSN),parallel,,,,,,,,,,,,False,43,,,,,,,8 dropouts total.,yes,3,43,,injuries,Eight out of the 43 subjects were unable to complete the protocol due to injuries (n=3),,,,,,,,,53,hypoventilation (VHL),hypoventilation,normal breathing,parallel,training intervention,5 weeks,2022,43,16.7,1.5,1,,,,,,,43,,,,,,hypoventilation,parallel_or_controlled_trial,35,43,0,53
Conlon2022,efficacy_outcome,additional,2022,Conlon,RCT,UK,,The effects of breathing techniques on pressurized performance and stress-responses,Shooting,mixed/various sports,competitive,67,,,,slow diaphragmatic breathing,paced breathing (12 cpm),parallel,physiological,RMSSD,post-intervention,FALSE,22,67.55,42.19,21,61.29,28.05,,True,23,44,1,2,,,,,unclear,,,,,,,,,,,,,,54,slow diaphragmatic breathing,diaphragmatic,paced breathing,parallel,acute pre-exercise,5 min,2022,67,,,,22,67.55,42.19,21,61.29,28.05,23,44,1,2,,,diaphragmatic,parallel_or_controlled_trial,0.003472222222222222,,,54
Marko2022,efficacy_outcome,additional,2022,Marko,Before-after,Czech Republic,J. Clin. Med.,Does Wim Hof Method Improve Breathing Economy during Exercise?,Cycling,cycling,healthy active,23,,,,Wim Hof Method,baseline,crossover,physiological,VT,post-test,FALSE,11,1.67,0.25,11,1.66,0.27,,True,23,,,,,,,,unclear,,,,,,,,,,,,,,56,Wim Hof Method,mixed protocol,baseline,single-arm,acute pre-exercise,,2022,23,,,,11,1.67,0.25,11,1.66,0.27,23,,,,,,other_unclear,before_after,,,,56
You2023,efficacy_outcome,additional,2023,You,Crossover,France,Applied Psychophysiology and Biofeedback,Single slow-paced Breathing Session at six cycles per minute,Unclear,non-sport exercise/performance,healthy active,78,22.32,2.11,71,slow-paced breathing (6 cpm),usual breathing,crossover,physiological,SDNN,post-intervention,FALSE,75,141.37,45.35,75,98.23,40.70,,True,78,78,,,,,3 dropouts total.,,unclear,,,,,,,,,,,,,,58,slow-paced breathing,paced breathing,usual breathing,crossover,baseline/testing,,2023,78,22.32,2.11,0.71,75,141.37,45.35,75,98.23,40.7,78,78,,,,,paced_breathing,crossover,,55.379999999999995,22.620000000000005,58
Braham2024,metadata_only,none,2024,Braham,RCT,France,Int J Sports Physiol Perform,Effects of a 6-Week Repeated-Sprint Training With Voluntary Hypoventilation,Soccer,team sports,competitive,16,,,0,hypoventilation (VHL),normal breathing (RSN),parallel,,,,,,,,,,,,False,,,,,,,,,unclear,,,,,,,,,,,,,,60,hypoventilation (VHL),hypoventilation,normal breathing,parallel,training intervention,6 weeks,2024,16,,,0,,,,,,,,,,,,,hypoventilation,parallel_or_controlled_trial,42,0,16,60
Buxton2024,metadata_only,none,2024,Buxton,Crossover,USA,J Hum Kinet,The Effects of Slow Breathing during Inter-Set Recovery on Power Performance in the Barbell Back Squat,Back squat,resistance/strength,recreational,18,20.7,1.4,100,slow-paced breathing (4-7-8 method),control,crossover,,,,,,,,,,,,False,18,18,,,,,,,unclear,,,,,,,,,,,,,,61,slow-paced breathing,paced breathing,control,crossover,post-exercise/recovery,,2024,18,20.7,1.4,1,,,,,,,18,18,,,,,paced_breathing,crossover,,18,0,61
Li2024,efficacy_outcome,additional,2024,Li,Crossover,China,Healthcare,The Impact of Starting Positions and Breathing Rhythms on Cardiopulmonary Stress,Burpees,non-sport exercise/performance,healthy active,30,19.6,1.2,82,regulated breathing (Rhythm+Stand),free breathing (Free+Stand),crossover,physiological,Average POCR,post-exercise,FALSE,22,14.3,1.28,22,11.0,0.93,,True,30,30,,,,,8 dropouts total.,Participants Exclusion (n=3) Have musculoskeletal injury... Lost Follow up (n=5),yes,1,30,,respiratory-related illnesses,Lost Follow up (n=5)... Get respiratory-related illnesses: n=1,,,,,,,,,62,regulated breathing,paced breathing,free breathing,crossover,during exercise,,2024,30,19.6,1.2,0.82,22,14.3,1.28,22,11,0.93,30,30,,,,,paced_breathing,crossover,,24.599999999999998,5.400000000000001,62
Merlin2024,efficacy_outcome,additional,2024,Merlin,RCT,France,J Funct Morphol Kinesiol,Psychophysiological Effects of Slow-Paced Breathing on Adolescent Swimmers,Swimming,swimming,elite,13,13.9,0.38,38,slow-paced breathing,control,parallel,psychological,Total recovery,post-intervention,FALSE,7,4.96,1.12,6,5.14,1.06,,True,7,6,,,,,,,unclear,,,,,,,,,,,,,,64,slow-paced breathing,paced breathing,control,parallel,training intervention,6 weeks,2024,13,13.9,0.38,0.38,7,4.96,1.12,6,5.14,1.06,7,6,,,,,paced_breathing,parallel_or_controlled_trial,42,4.94,8.06,64
Rosa2024,metadata_only,none,2024,Rosa,Crossover,Portugal,,VHL during arm cycle ergometer,Arm cycle ergometer,non-sport exercise/performance,unclear,14,,,,hypoventilation (RS-VHL),normal breathing (RSN),crossover,,,,,,,,,,,,False,14,14,,,,,,,unclear,,,,,,,,,,,,,,65,hypoventilation (RS-VHL),hypoventilation,normal breathing,crossover,during exercise,,2024,14,,,,,,,,,,14,14,,,,,hypoventilation,crossover,,,,65
Sikora2024,efficacy_outcome,additional,2024,Sikora,Observational,Poland,Sci Rep,Differences between diaphragmatic and abdominal breathing patterns in spirometric,Unclear,mixed/various sports,competitive,69,,,,diaphragmatic breathing,thoracic breathing,observational,physiological,FEV1,baseline,FALSE,38,5.13,1.01,22,4.14,0.88,,True,38,22,,,,,,,unclear,,,,,,,,,,,,,,66,diaphragmatic breathing,diaphragmatic,thoracic breathing,observational,baseline/testing,,2024,69,,,,38,5.13,1.01,22,4.14,0.88,38,22,,,,,diaphragmatic,single_group_or_observational,,,,66
Woorons2024,efficacy_outcome,additional,2024,Woorons,RCT,France,Front Physiol,Hypoventilation training including maximal end-expiratory breath holding improves,Judo,combat sports,elite,20,20.6,2.5,50,hypoventilation (RSH-VHL),normal breathing (RSN),parallel,performance,Sdec,post-training,TRUE,9,20.4,6.5,8,24.4,4.2,,True,10,10,1,2,,,,,unclear,,,,,,,,,,,,,,68,hypoventilation (RSH-VHL),hypoventilation,normal breathing,parallel,training intervention,4 weeks,2024,20,20.6,2.5,0.5,9,20.4,6.5,8,24.4,4.2,10,10,1,2,,,hypoventilation,parallel_or_controlled_trial,28,10,10,68
Deniz2025,efficacy_outcome,additional,2025,Deniz,Crossover,Turkey,"BMC Sports Science, Medicine and Rehabilitation",The effect of breathing strategy on lifted load during the bench press,Bench press,resistance/strength,recreational,12,27.92,7.38,100,exhalation,inhalation,crossover,physiological,Post-exercise SBP,post-exercise,TRUE,12,125.00,9.40,12,128.50,8.88,,True,12,12,,,,,,,unclear,,,,,,,,,,,,,,70,exhalation,other,inhalation,crossover,during exercise,4 weeks,2025,12,27.92,7.38,1,12,125,9.4,12,128.5,8.88,12,12,,,,,other_unclear,crossover,28,12,0,70
Fernandez2025,efficacy_outcome,primary,2025,DeAs?s-Fern?ndez,Crossover,Spain,Sports,Effects of Hook Maneuver on Oxygen Saturation Recovery After -40 m Apnea Dive,Freediving,freediving,competitive,13,42,9,,hook breathing,usual breathing,crossover,Physiological,SpO2 at 30s (%),30s Post-apnea,FALSE,13,92,9,13,87,7.9,,True,13,13,,,,,,,yes,5,14,1,pulmonary edema,One participant was eliminated... he had developed severe pulmonary edema... Four participants showed signs of mild pulmonary edema,4,13,4,13,mild pulmonary edema,4,4,"Four participants showed signs of mild pulmonary edema, after diving, coinciding in both protocols",72,hook breathing,other,usual breathing,crossover,post-exercise/recovery,,2025,13,42,9,,13,92,9,13,87,7.9,13,13,,,,,other_unclear,crossover,,,,72
Fesseler2025,efficacy_outcome,primary,2025,Fesseler,Crossover,Germany,Experimental Physiology,The effect of pre-exercise hyperventilation on repeated high-intensity inclined sprint performance,Sprint intervals,running,recreational,36,24.0,1.8,50,pre-exercise hyperventilation,spontaneous breathing,crossover,Performance,Cumulative elevation gain (Sprint 1),Post-sprint,FALSE,36,-12.89,2.78,36,-12.27,2.44,,True,36,36,,,,,,,unclear,,,,,,,,,,,,,,73,pre-exercise hyperventilation,hyperventilation,spontaneous breathing,crossover,acute pre-exercise,30 s,2025,36,24,1.8,0.5,36,-12.89,2.78,36,-12.27,2.44,36,36,,,,,hyperventilation,crossover,30,18,18,73
Fox2025,metadata_only,none,2025,Fox,RCT,Australia,Sci Rep,Wim Hof Method,General,non-sport exercise/performance,healthy active,404,37,9.95,44,Wim Hof Method,Meditation control,parallel,,,,,,,,,,,,False,273,131,,,,,Total attrition 152. Daily intervention compliance 64.71%.,"A total of 556 participants enrolled in the study, with a final sample size of 404 participants",yes,1,556,,medical condition,"Attrition was due to a medical condition (1), travel, and conflicting time commitments.",,,,,,,,,74,Wim Hof Method,mixed protocol,active control,parallel,training intervention,29 days,2025,404,37,9.95,0.44,,,,,,,273,131,,,,,other_unclear,parallel_or_controlled_trial,29,177.76,226.24,74
Kasap2025,efficacy_outcome,primary,2025,Kasap,Crossover,Turkey,PLoS One,Box breathing or six breaths per minute: Which strategy improves athletes post-HIIT cardiovascular recovery?,Cycle ergometer,cycling,healthy active,40,20.95,1.75,63,box breathing,6 bpm breathing,crossover,Physiological,Final Heart Rate (bpm),Post-exercise,TRUE,40,164.65,9.40,40,159.05,10.38,,True,40,40,,,,,,,unclear,,,,,,,,,,,,,,75,box breathing,paced breathing,spontaneous breathing,crossover,post-exercise/recovery,2 min,2025,40,20.95,1.75,0.63,40,164.65,9.4,40,159.05,10.38,40,40,,,,,paced_breathing,crossover,0.001388888888888889,25.2,14.8,75
Liapaki2025,metadata_only,none,2025,Liapaki,Crossover,Greece,J Hum Kinet,Apnea or normal breathing on physiological responses during HIIT,Running,running,competitive,15,24.7,3.1,,breath holding/apnea,normal breathing,crossover,,,,,,,,,,,,False,15,15,,,,,,,unclear,,,,,,,,,,,,,,76,breath holding/apnea,breath holding/apnea,normal breathing,crossover,during exercise,,2025,15,24.7,3.1,,,,,,,,15,15,,,,,breath_holding,crossover,,,,76
Lorinczi2025,metadata_only,none,2025,Lorinczi,RCT,Slovakia,Int J Sports Physiol Perform,Additional Benefits of Repeated-Sprint Training With Prolonged End-Expiratory Breath Holding,Soccer,team sports,competitive,20,,,,breath holding/apnea (EEBH),normal breathing,parallel,,,,,,,,,,,,False,,,,,,,,,unclear,,,,,,,,,,,,,,77,breath holding/apnea (EEBH),breath holding/apnea,normal breathing,parallel,training intervention,,2025,20,,,,,,,,,,,,,,,,breath_holding,parallel_or_controlled_trial,,,,77
Yilmaz2025,metadata_only,none,2025,Yilmaz,Other experimental,Turkey,Sci Rep,Evaluating bioenergetic pathway contributions,Wingate,cycling,healthy active,12,,,,voluntary hyperventilation,control,parallel,,,,,,,,,,,,False,12,12,,,,,,,unclear,,,,,,,,,,,,,,78,voluntary hyperventilation,hyperventilation,control,unclear,acute pre-exercise,,2025,12,,,,,,,,,,12,12,,,,,hyperventilation,parallel_or_controlled_trial,,,,78
Chiron2026,efficacy_outcome,additional,2026,Chiron,RCT,France,J Strength Cond Res,Exploring the influence of coherent breathing on psychophysiological stress,Running,running,elite,22,22.3,3.0,68,slow-paced breathing (RELAX),control (CONT),parallel,physiological,Heart Rate,post-test,TRUE,11,55.97,8.32,11,55.75,6.11,,True,11,11,,,,,,,unclear,,,,,,,,,,,,,,79,slow-paced breathing,paced breathing,control,parallel,training intervention,8 days,2026,22,22.3,3,0.68,11,55.97,8.32,11,55.75,6.11,11,11,,,,,paced_breathing,parallel_or_controlled_trial,8,14.96,7.039999999999999,79
Devipriya2026,efficacy_outcome,primary,2026,Devipriya,Before-after,India,Cureus,Evaluation of Immediate Changes in Reaction Time Following Bhramari Pranayama,Unclear,non-sport exercise/performance,healthy active,60,21.35,1.78,50,Bhramari Pranayama,within-subject baseline,crossover,Performance,Visual Reaction Time (VRT) Right Hand (ms),Post-session,TRUE,60,201.35,,60,223.67,,No dispersion reported,False,60,60,,,,,,,unclear,,,,,,,,,,,,,,81,Bhramari Pranayama,yoga/pranayama,baseline,single-arm,baseline/testing,,2026,60,21.35,1.78,0.5,60,201.35,,60,223.67,,60,60,,,,,pranayama_yogic,before_after,,30,30,81
FernandezBarradas2026,efficacy_outcome,primary,2026,Fern?ndez-Barradas,Before-after,Mexico,Front. Sports Act. Living,Slow paced breathing and power posing: a pre-competitive ritual,American football,team sports,competitive,34,16.97,0.80,,slow-paced breathing,baseline,crossover,Psychological,Cognitive anxiety,Post-test,TRUE,34,16,,34,52.27,,No dispersion reported,False,34,,,,,,,,unclear,,,,,,,,,,,,,,82,slow-paced breathing,paced breathing,baseline,single-arm,acute pre-exercise,8 weeks,2026,34,16.97,0.8,,34,16,,34,52.27,,34,,,,,,paced_breathing,before_after,56,,,82
Iskra2026,efficacy_outcome,additional,2026,Iskra,Crossover,Germany,Psychophysiology,Fast-paced breathing,Unclear,non-sport exercise/performance,healthy active,58,,,,slow-paced breathing (6 CPM),paced breathing (15 CPM),crossover,physiological,PEP,during intervention,FALSE,38,114.46,11.16,38,116.17,11.75,,True,58,58,,,,,20 dropouts/exclusions total.,Three participants were excluded from the main analysis due to technical issues... An additional 17 participants were excluded... yielding 38 final datasets.,unclear,,,,,,,,,,,,,,83,slow-paced breathing,paced breathing,paced breathing,crossover,baseline/testing,2.5 min,2026,58,,,,38,114.46,11.16,38,116.17,11.75,58,58,,,,,paced_breathing,crossover,0.001736111111111111,,,83
Jing2026,metadata_only,none,2026,Jing,RCT,China,J Sports Med Phys Fitness,Effects of underwater breath-holding training on athletes' lung capacity,Swimming,swimming,competitive,20,,,,breath holding/apnea,control,parallel,,,,,,,,,,,,False,,,,,,,,,unclear,,,,,,,,,,,,,,85,breath holding/apnea,breath holding/apnea,control,parallel,training intervention,,2026,20,,,,,,,,,,,,,,,,breath_holding,parallel_or_controlled_trial,,,,85
Jones2026,efficacy_outcome,additional,2026,Jones,RCT,USA,Med Sci Sports Exerc,Box Breathing vs Cyclic Sighing,Rowing,endurance,healthy active,77,21.0,3.0,71,box breathing,spontaneous breathing,parallel,physiological,HRR3,post-exercise,FALSE,21,119.9,18.9,20,124.0,15.7,,True,42,20,,,,,15 participants excluded due to technical issues.,"Of these, 10 participants were excluded due to technical issues with the connectivity... An additional five participants were removed during data screening... final analyzed sample comprised 62 participants",unclear,,,,,,,,,,,,,,86,box breathing,paced breathing,spontaneous breathing,parallel,post-exercise/recovery,3 min,2026,77,21,3,0.71,21,119.9,18.9,20,124,15.7,42,20,,,,,paced_breathing,parallel_or_controlled_trial,0.0020833333333333333,54.669999999999995,22.330000000000002,86
Katz2026,efficacy_outcome,primary,2026,Katz,Crossover,USA,Journal of Strength and Conditioning Research,The acute effect of a diaphragmatic breathing warm-up on maximal deadlift performance,Deadlift,resistance/strength,recreational,40,24.8,6.8,80,diaphragmatic breathing,control,crossover,Performance,Deadlift 1RM (kg),Post-test,FALSE,40,163.6,47.1,40,160.7,49.6,,True,40,40,,,,,,,unclear,,,,,,,,,,,,,,88,diaphragmatic breathing,diaphragmatic,control,crossover,acute pre-exercise,5 min,2026,40,24.8,6.8,0.8,40,163.6,47.1,40,160.7,49.6,40,40,,,,,diaphragmatic,crossover,0.003472222222222222,32,7.999999999999998,88
Raidl2026,metadata_only,none,2026,Raidl,RCT,Austria,Int J Sports Physiol Perform,No Evidence for the Efficacy of Slow-Paced Breathing as a Recovery Strategy After Sprint Interval Training,Sprint interval training,running,competitive,20,,,,slow-paced breathing,control,parallel,,,,,,,,,,,,False,,,,,,,,,unclear,,,,,,,,,,,,,,89,slow-paced breathing,paced breathing,control,parallel,post-exercise/recovery,,2026,20,,,,,,,,,,,,,,,,paced_breathing,parallel_or_controlled_trial,,,,89
Tomita2026,metadata_only,none,2026,Tomita,Crossover,Japan,,Focused Attention Meditation as a Pre-Exercise Strategy,Speed skating,winter sports,elite,26,,,,controlled breathing,random thinking,crossover,,,,,,,,,,,,False,26,26,0,0,,,All completed without adverse events.,All 26 participants completed the intervention and HIIT protocols without adverse events.,no,0,26,0,,All 26 participants completed the intervention and HIIT protocols without adverse events.,0,26,0,26,,0,0,All 26 participants completed the intervention and HIIT protocols without adverse events.,90,focused attention meditation,other,control,crossover,acute pre-exercise,,2026,26,,,,,,,,,,26,26,0,0,,,other_unclear,crossover,,,,90
